vendor,product_name,source_url,category,proposed_family,confidence,evidence,notes
luciusatelier,Explorer 36mm — Ultra Thin Watch Case,https://luciusatelier.com/products/explorer-watch-case-36mm-ultra-thin-edition,case,lucius-ultra-thin-case,high,"Same 'Ultra Thin Edition series' product line as above, same body_html disclaimer pattern (verified on the SKX013 Diver 38 listing).","Not a singleton — same family as the row above, plus a chapter ring below."
luciusatelier,SKX Solid Caseback - Silver Mirror Polished,https://luciusatelier.com/products/skx-solid-caseback-silver-mirror-polished,case,skx007-case,medium,"Tags: fits-skx013, skx007, skx013, 7s26-0020, 7s26-0030 — caseback thread shared across SKX007/013 shells per vendor tags.","Category ambiguity: schema has no dedicated 'caseback' enum value, mapped to 'case'. Thread compatibility across 7S26 (old automatic) and NH35-based shells is a vendor-tag claim, not independently confirmed against a non-Lucius case."
luciusatelier,Grand Seiko GMT Dial - Sunburst Sky Blue [For NH34],https://luciusatelier.com/products/grand-seiko-gmt-dial-sunburst-sky-blue-for-nh34,dial,nh34-gmt-dial,high,"Title and tags explicit: 'For NH34', 'GMT - NH34'.","NEW family, narrower than generic nh3x-dial-standard since the GMT hand/date function specifically requires an NH34 movement, not just any NH3x."
luciusatelier,Vintage Enamel Biege Dial (Date),https://luciusatelier.com/products/vintage-enamel-biege-dial-date,dial,nh3x-dial-standard,medium,"Tags: date, dial, fits-skx013, skx007, skx013 — no explicit feet statement on this listing.","Family-inferred from the vendor's broader dial3h-options/hands-option customizer tags implying standard NH-family mounting, not vendor-stated directly on this SKU."
luciusatelier,Nautilus II Hands - Polished Black,https://luciusatelier.com/products/nautilus-ii-hands-polished-black,hands,nh3x-hands-standard,high,"Tags explicit: fits-nh34/35/36/38/72, fits-skx013, plus skx007/009/013/015/snk807/809/snke53/snkl23 compatibility list.","Vendor-stated, one of the most detailed fitment tag sets seen in the whole audit."
luciusatelier,1908 Sword Breguet Hands - Polished Silver,https://luciusatelier.com/products/1908-sword-breguet-hands-polished-silver,hands,nh3x-hands-standard,high,"Tags explicit: fits-nh34/35/36/38/72, fits-skx013.",
luciusatelier,SKX013 Ceramic Bezel Insert (Slope) - Submariner Green,https://luciusatelier.com/products/skx013-ceramic-bezel-insert-slope-submariner-green,bezel_insert,skx013-insert,high,Tag explicit: fits-skx013; product_type 'Bezel Inserts'.,"'Slope' profile is a sub-variant worth an attribute, not a separate family."
luciusatelier,SKX013 Ceramic Bezel Insert (Slope) - GMT 24H - Sprite Black/Green,https://luciusatelier.com/products/skx013-ceramic-bezel-insert-slope-gmt-24h-sprite-black-green,bezel_insert,skx013-insert,high,Tag explicit: fits-skx013.,
luciusatelier,SKX013 Double Domed Sapphire Crystal - Micro Bevel,https://luciusatelier.com/products/skx013-double-domed-sapphire-crystal-micro-bevel,crystal,skx013-crystal,high,Tag explicit: fits-skx013; product_type 'Crystals'.,
luciusatelier,SKX013 Brushed Yellow Chapter Ring — Ultra Thin,https://luciusatelier.com/products/skx013-brushed-yellow-chapter-ring-ultra-thin-edition,chapter_ring,lucius-ultra-thin-case,medium,Title combines 'SKX013' and 'Ultra Thin' — same naming pattern as the Ultra Thin case line above.,"Naming-collision risk: given the case listing's explicit statement that stock SKX013 parts do not fit the Ultra Thin case, this chapter ring is more likely scoped to Lucius's own Ultra Thin case than to generic skx013-case. Not independently vendor-confirmed on this specific SKU — downgraded to medium and flagged for review rather than assumed compatible with stock skx013-case (would be a false positive if wrong)."
dlwwatches,NH36 Movement - Black,https://dlwwatches.com/products/nh36-movement-black,movement,nh3x-movement,high,"Tags: Movement, Movt & Accessories; title explicit NH36.",
dlwwatches,NH34 GMT Movement - White,https://dlwwatches.com/products/nh34-gmt-movement-white,movement,nh3x-movement,medium,"Title/tags explicit NH34 GMT. Physical mounting footprint shared with NH35/36 per cross-vendor convention (Lucius's fits-nh34/35/36/38/72 grouping), but this listing itself doesn't state footprint compatibility.","GMT function (extra hand, different crown behaviour) differs from plain NH35/36 — needs a family_exceptions row for the GMT-specific hand/dial requirement, not just the plain family match."
dlwwatches,Case - SKX007 Sub NCG - Polished PVD Gold (With Case Back),https://dlwwatches.com/products/case-skx007-sub-ncg-polished-pvd-gold-with-case-back,case,skx007-case,high,Tag explicit: SKX007.,
dlwwatches,Case - SRPE GS EVO. - Polished/Brushed PVD Black (With Case Back),https://dlwwatches.com/products/case-srpe-gs-evo-polished-brushed-pvd-black-with-case-back,case,srpe-case,high,Tag explicit: SRPE.,"NEW family — SRPE is a distinct Seiko model line (Samurai-style case), different dimensions from SKX007/013. Well-populated in this vendor's catalog (also has matching crystal and 2 chapter rings sampled below), not a singleton."
dlwwatches,Dial - Reverse Sub - Sterile - No Date,https://dlwwatches.com/products/dial-reverse-sub-sterile-no-date,dial,nh3x-dial-standard,medium,"Tags: Black, Dial, No Date, Reverse Sub, Sterile; product_type 'Dials'.","No explicit feet statement in feed metadata for this listing; family-inferred from vendor's general SKX/NH-focused catalog, consistent with namoki's vendor-stated convention elsewhere."
dlwwatches,Dial - Handcrafted Series - Chroma Spheres 1,https://dlwwatches.com/products/dial-handcrafted-series-chroma-spheres-1,dial,nh3x-dial-standard,low,"product_type empty; tags only 'Handcrafted', 'Handcrafted Dials' — no case/movement/feet fitment signal anywhere in feed data.",Would need body_html or direct vendor contact to confirm fitment before this could be approved. Flagged for manual review — a real example of a listing the family model cannot confidently place from feed data alone.
dlwwatches,Hands - Sumo,https://dlwwatches.com/products/hands-sumo,hands,nh3x-hands-standard,medium,product_type 'Hands'; many colour variants but no explicit pinion/movement statement in feed metadata.,"'Sumo' is a Seiko model style reference, not necessarily a mount spec. Family-inferred from vendor's overall NH-focused catalog."
dlwwatches,Ceramic Insert - 007 GMT COKE,https://dlwwatches.com/products/ceramic-insert-007-gmt-coke,bezel_insert,skx007-insert,high,Tag explicit: 'SKX007 & SRPD (Slope)'.,
dlwwatches,Sapphire Insert - SKX Dual Time Racing Green X White - Luminous Green,https://dlwwatches.com/products/sapphire-insert-skx-dual-time-green-x-white-luminous-green,bezel_insert,skx007-insert,high,Tag explicit: 'SKX007 & SRPD (Flat)'.,
dlwwatches,Sapphire Top Hat - SRPE,https://dlwwatches.com/products/sapphire-top-hat-srpe,crystal,srpe-crystal,high,Tag explicit: SRPE.,Scoped under the new srpe-case family group.
dlwwatches,Chapter Ring - SRPE - Brushed Steel w Engraved Markers,https://dlwwatches.com/products/chapter-ring-srpe-brushed-steel-w-engraved-markers,chapter_ring,srpe-chapter-ring,high,Tag explicit: SRPE.,
dlwwatches,Chapter Ring - SRPE - Polished Gold,https://dlwwatches.com/products/chapter-ring-srpe-polished-gold,chapter_ring,srpe-chapter-ring,high,Tag explicit: SRPE.,Confirms srpe-chapter-ring is not a singleton.
watchandstyle,W1441 5 o'clock Window Date Wheel Disc - White,https://watchandstyle.net/products/w1441-5-oclock-window-date-wheel-disc-white,movement,nh3x-movement,medium,"Tags explicit: Date wheel, NH Movement, NH34, NH35.","Clearly an NH-family part, but '5 o'clock' date window position is non-standard for stock NH35 (3 o'clock)/NH36 (4:30) dials — this is a spare part matched to a specific non-standard dial, worth a family_exceptions row rather than treating as a generic family member. Price shown ($1200) is suspiciously high for a date wheel disc — flagged in feed-audit.md, likely a currency/unit issue to resolve in Phase 1, not a family-assignment issue."
luciusatelier,Seiko (TMI) NH35 Automatic Movement - Date @ 6H (White),https://luciusatelier.com/products/seiko-tmi-nh35-automatic-movement-date-6h-white,movement,nh3x-movement,high,product_type 'Movements'; title explicit 'Seiko (TMI) NH35 Automatic Movement'.,"Swapped in to replace the watchandstyle rotor so the audit includes at least one plain, buyable NH35 movement SKU (needed as a known-builds.json fixture). Title states 'Date @ 6H' -- a THIRD real date-window position beyond the 3 o'clock / 4:30 pair discussed elsewhere in this audit, reinforcing that date-window position is a genuinely variable spec, not a fixed default."
watchandstyle,RC1331 SKX007 Field Case - Black,https://watchandstyle.net/products/rc1331-skx007-field-case-black,case,skx007-case,high,"Tags explicit: SKX007, SKX007 Case, SKX007/SRPD; product_type 'SKX007/SRPD Replacement Case'.",
watchandstyle,RC1697 Alpinist Style Case Blue Chapter Ring - Fluted,https://watchandstyle.net/products/rc1697-alpinist-style-case-blue-chapter-ring-fluted,case,alpinist-style-case,high,Tag explicit: Alpinist; product_type '40mm Replacement Case' — a distinct diameter class from SKX007 (~42mm) or SKX013 (~38mm).,"NEW family. A second Alpinist-tagged case (RC1667, green) also present in the raw feed, so not a singleton."
watchandstyle,D0590 Arabic Dial - Sunburst Green,https://watchandstyle.net/products/d0590-arabic-dial-sunburst-green-1,dial,nh3x-dial-standard,low,"product_type 'Dial'; tags Arabic Dial, Sunburst Dial — no case/movement/feet fitment signal at all in the feed fields.",Pure convention guess. Would need body_html or a product-page visit to confirm — currently the weakest-evidenced dial in the audit.
luciusatelier,GMT Hands - GS Arrow [For NH34],https://luciusatelier.com/products/gmt-hands-gs-arrow-for-nh34,hands,nh3x-hands-standard,high,"Tags explicit: fits-nh34, fits-skx013, fits-skx007, GMT, GMT - NH34.","Swapped in to replace a low-confidence watchandstyle hand set so the audit includes a real, vendor-confirmed GMT-compatible hand set matching the NH34 GMT dial and movement rows elsewhere in this audit."
watchandstyle,CI0004 SKX007/SRPD Luminous Sub Black Ceramic Bezel Insert,https://watchandstyle.net/products/skx007-luminous-sub-black-ceramic-insert,bezel_insert,skx007-insert,high,Title and product_type explicit: 'SKX007/SRPD Ceramic Insert'.,
watchandstyle,CI1707 SKX007/SRPD Flat Ceramic GMT Insert - Black/Gray - B. Wayne,https://watchandstyle.net/products/ci1707-skx007-srpd-flat-ceramic-gmt-insert-black-gray-b-wayne,bezel_insert,skx007-insert,high,Title and product_type explicit: 'SKX007/SRPD Ceramic Insert'.,
watchandstyle,G0352 SRP Turtle Reissue Double Dome Sapphire Crystal,https://watchandstyle.net/products/turtle-reissue-double-dome-sapphire-crystal-1,crystal,srp-turtle-crystal,high,Title and product_type explicit: 'SRP Turtle Sapphire Crystals'.,"CORRECTED (2026-08-31): originally flagged as a thin 'turtle-crystal' family (2 SKUs) and briefly excluded from scope alongside snxs-crystal. That count was scoped too narrowly -- crystal category, one vendor only. Checking 'turtle' across all categories at all 4 vendors finds 194 real SKUs (53 at watchandstyle, 61 at namokimods, 80 at dlwwatches): full cases (namoki NMK902 SRP Turtle Watch Case; dlwwatches Case - SKX007 Turtle in 6 finishes), SKX007/SKX013 'Turtle conversion' cases at watchandstyle, bezels, ceramic/steel inserts, chapter rings, crowns, casebacks, and bracelets. SRP Turtle is a real, well-populated case family comparable in scale to srpe-case, not a peripheral crystal-only line. Reclassified family to 'srp-turtle-crystal' (a crystal-category member of the broader srp-turtle-case family, same pattern as srpe-crystal under srpe-case). NOT excluded."
watchandstyle,G1387 SNXS Double Dome Sapphire Crystal - Blue AR,https://watchandstyle.net/products/g01387-snxs-double-dome-sapphire-crystal-blue-ar,crystal,snxs-crystal,high,Title and product_type explicit: 'SNXS Sapphire Crystal'.,"EXCLUDED from catalog scope (2026-08-31, post-Phase-0 singleton verification): snxs-crystal family confirmed at exactly 2 real SKUs (this one + G1388 SNXS Flat Sapphire Crystal) even checked against watchandstyle.net's complete 1,140-product catalog (all 5 pages), not a page-1 sample. Below the 3-SKU bar set in 01a-PHASE-0-FINDINGS.md for a family to stand after reclassification. Route to rejected_parts with reason 'insufficient real family size' when Phase 1 ingestion runs. Evidence quality for the family LABEL itself was high (explicit vendor product_type 'SNXS Sapphire Crystal') -- this exclusion is about population size, not label confidence."
watchandstyle,C1624 SSK GMT Chapter Ring - Blue,https://watchandstyle.net/products/c1624-ssk-gmt-chapter-ring-blue,chapter_ring,ssk-chapter-ring,medium,"Tag explicit: 'Seiko 5 GMT Chapter Ring' — clarifies SSK = Seiko 5 GMT on this listing. BUT product_type field independently says 'SKX007/SRPD Chapter Ring', which conflicts.","Internally inconsistent vendor metadata (type says SKX007/SRPD, tag says Seiko 5 GMT). Best evidence so far that SSK = Seiko 5 GMT (ties to namoki's unresolved SSK item above), but the conflicting product_type keeps this at medium rather than high pending Phase 1 review."
namokimods,NMK315 SKX/SRPD Flat Sapphire Crystal for Sloped Inserts w Cyclops,https://namokimods.com/products/nmk315-flat-sapphire-crystal-w-cyclops-nh34,crystal,skx007-crystal,medium,Title explicit 'SKX/SRPD'; product_type 'Sapphire Crystals'.,"URL handle mentions 'nh34' loosely (likely a SKU/build-context note, not a movement-fitment claim — a crystal's fit is driven by case diameter, not movement). No case-diameter figure stated on this listing itself, so kept at medium rather than high."
